Processing Time for 2022/04/01/0000H:  1.218935489654541 seconds
Processing Time for 2022/06/14/0100H:  0.1501622200012207 seconds
Processing Time for 2022/06/14/0200H:  0.16588187217712402 seconds
Processing Time for 2022/06/14/0300H:  0.3113117218017578 seconds
Processing Time for 2022/06/14/0400H:  0.4712657928466797 seconds
Processing Time for 2022/06/14/0500H:  2.4303529262542725 seconds
Processing Time for 2022/06/14/0600H:  4.1821043491363525 seconds
Processing Time for 2022/06/14/0700H:  8.722688436508179 seconds
Processing Time for 2022/06/14/0800H:  5.585230588912964 seconds
Processing Time for 2022/06/14/0900H:  12.335427284240723 seconds
Processing Time for 2022/06/14/1000H:  12.050425291061401 seconds
Processing Time for 2022/06/14/1100H:  7.468709707260132 seconds
Processing Time for 2022/06/14/1200H:  12.886760234832764 seconds
Processing Time for 2022/06/14/1300H:  3.3055942058563232 seconds
Processing Time for 2022/06/14/1400H:  9.095728158950806 seconds
Processing Time for 2022/06/14/1500H:  5.699751377105713 seconds
Processing Time for 2022/06/14/1600H:  8.883761882781982 seconds
Processing Time for 2022/06/14/1700H:  6.591846704483032 seconds
Processing Time for 2022/06/14/1800H:  11.97186827659607 seconds
Processing Time for 2022/06/14/1900H:  11.628435850143433 seconds
Processing Time for 2022/06/14/2000H:  10.76948595046997 seconds
Processing Time for 2022/06/14/2100H:  5.895564556121826 seconds
Processing Time for 2022/06/14/2200H:  3.820488214492798 seconds
Processing Time for 2022/06/14/2300H:  1.596442699432373 seconds
Processing Time for 2022/06/15/0000H:  0.906301736831665 seconds
Processing Time for 2022/06/15/0100H:  0.2896568775177002 seconds
Processing Time for 2022/06/15/0200H:  0.15047121047973633 seconds
Processing Time for 2022/06/15/0300H:  0.281857967376709 seconds
Processing Time for 2022/06/15/0400H:  0.3566408157348633 seconds
Processing Time for 2022/06/15/0500H:  2.095118761062622 seconds
Processing Time for 2022/06/15/0600H:  3.8642585277557373 seconds
Processing Time for 2022/06/15/0700H:  8.492954015731812 seconds
Processing Time for 2022/06/15/0800H:  4.664887428283691 seconds
Processing Time for 2022/06/15/0900H:  12.231278657913208 seconds
Processing Time for 2022/06/15/1000H:  12.635899066925049 seconds
Processing Time for 2022/06/15/1100H:  7.631619691848755 seconds
Processing Time for 2022/06/15/1200H:  12.859503269195557 seconds
Processing Time for 2022/06/15/1300H:  1.8995740413665771 seconds
Processing Time for 2022/06/15/1400H:  9.734285831451416 seconds
Processing Time for 2022/06/15/1500H:  5.5895044803619385 seconds
Processing Time for 2022/06/15/1600H:  9.459297895431519 seconds
Processing Time for 2022/06/15/1700H:  5.470143795013428 seconds
Processing Time for 2022/06/15/1800H:  12.269904613494873 seconds
Processing Time for 2022/06/15/1900H:  11.569237232208252 seconds
Processing Time for 2022/06/15/2000H:  10.990941762924194 seconds
Processing Time for 2022/06/15/2100H:  6.259840726852417 seconds
Processing Time for 2022/06/15/2200H:  3.5802526473999023 seconds
Processing Time for 2022/06/15/2300H:  1.0615248680114746 seconds
Processing Time for 2022/06/16/0000H:  1.1970667839050293 seconds
Processing Time for 2022/06/16/0100H:  0.5635805130004883 seconds
Processing Time for 2022/06/16/0200H:  0.5900015830993652 seconds
Processing Time for 2022/06/16/0300H:  0.8049731254577637 seconds
Processing Time for 2022/06/16/0400H:  0.7322571277618408 seconds
Processing Time for 2022/06/16/0500H:  2.761017322540283 seconds
Processing Time for 2022/06/16/0600H:  4.52912974357605 seconds
Processing Time for 2022/06/16/0700H:  9.808446645736694 seconds
Processing Time for 2022/06/16/0800H:  6.344705820083618 seconds
Processing Time for 2022/06/16/0900H:  13.1453275680542 seconds
Processing Time for 2022/06/16/1000H:  13.36331820487976 seconds
Processing Time for 2022/06/16/1100H:  8.050698041915894 seconds
Processing Time for 2022/06/16/1200H:  14.044440746307373 seconds
Processing Time for 2022/06/16/1300H:  4.431023597717285 seconds
Processing Time for 2022/06/16/1400H:  9.265831708908081 seconds
Processing Time for 2022/06/16/1500H:  5.325182199478149 seconds
Processing Time for 2022/06/16/1600H:  9.120234489440918 seconds
Processing Time for 2022/06/16/1700H:  6.945378303527832 seconds
Processing Time for 2022/06/16/1800H:  14.482038021087646 seconds
Processing Time for 2022/06/16/1900H:  11.870319128036499 seconds
Processing Time for 2022/06/16/2000H:  13.006316661834717 seconds
Processing Time for 2022/06/16/2100H:  8.42738389968872 seconds
Processing Time for 2022/06/16/2200H:  5.169556379318237 seconds
Processing Time for 2022/06/16/2300H:  2.239499568939209 seconds
Processing Time for 2022/06/17/0000H:  2.0639145374298096 seconds
Processing Time for 2022/06/17/0100H:  1.3089776039123535 seconds
Processing Time for 2022/06/17/0200H:  0.5542213916778564 seconds
Processing Time for 2022/06/17/0300H:  0.8269815444946289 seconds
Processing Time for 2022/06/17/0400H:  0.9173898696899414 seconds
Processing Time for 2022/06/17/0500H:  2.9706757068634033 seconds
Processing Time for 2022/06/17/0600H:  4.5257649421691895 seconds
Processing Time for 2022/06/17/0700H:  9.919087171554565 seconds
Processing Time for 2022/06/17/0800H:  6.073967218399048 seconds
Processing Time for 2022/06/17/0900H:  12.568902015686035 seconds
Processing Time for 2022/06/17/1000H:  13.104599475860596 seconds
Processing Time for 2022/06/17/1100H:  9.054408550262451 seconds
Processing Time for 2022/06/17/1200H:  13.751641988754272 seconds
Processing Time for 2022/06/17/1300H:  3.849565267562866 seconds
Processing Time for 2022/06/17/1400H:  9.64366888999939 seconds
Processing Time for 2022/06/17/1500H:  6.882636070251465 seconds
Processing Time for 2022/06/17/1600H:  10.394506931304932 seconds
Processing Time for 2022/06/17/1700H:  6.070431470870972 seconds
Processing Time for 2022/06/17/1800H:  12.925678968429565 seconds
Processing Time for 2022/06/17/1900H:  12.099703311920166 seconds
Processing Time for 2022/06/17/2000H:  12.620700597763062 seconds
Processing Time for 2022/06/17/2100H:  8.804522275924683 seconds
Processing Time for 2022/06/17/2200H:  4.554593086242676 seconds
Processing Time for 2022/06/17/2300H:  1.3091530799865723 seconds
Processing Time for 2022/06/18/0000H:  0.995509147644043 seconds
Processing Time for 2022/06/18/0100H:  0.6117441654205322 seconds
Processing Time for 2022/06/18/0200H:  0.5310890674591064 seconds
Processing Time for 2022/06/18/0300H:  0.6316752433776855 seconds
Processing Time for 2022/06/18/0400H:  0.7248268127441406 seconds
Processing Time for 2022/06/18/0500H:  2.256187677383423 seconds
Processing Time for 2022/06/18/0600H:  3.001065492630005 seconds
Processing Time for 2022/06/18/0700H:  8.045129776000977 seconds
Processing Time for 2022/06/18/0800H:  6.093650579452515 seconds
Processing Time for 2022/06/18/0900H:  12.14238691329956 seconds
Processing Time for 2022/06/18/1000H:  13.40833067893982 seconds
Processing Time for 2022/06/18/1100H:  7.240683555603027 seconds
Processing Time for 2022/06/18/1200H:  38.17576050758362 seconds
Processing Time for 2022/06/18/1300H:  2.790876626968384 seconds
Processing Time for 2022/06/18/1400H:  7.436656475067139 seconds
Processing Time for 2022/06/18/1500H:  6.307966709136963 seconds
Processing Time for 2022/06/18/1600H:  9.014946699142456 seconds
Processing Time for 2022/06/18/1700H:  6.497447490692139 seconds
Processing Time for 2022/06/18/1800H:  12.570902109146118 seconds
Processing Time for 2022/06/18/1900H:  11.267130851745605 seconds
Processing Time for 2022/06/18/2000H:  11.672491073608398 seconds
Processing Time for 2022/06/18/2100H:  7.9794604778289795 seconds
Processing Time for 2022/06/18/2200H:  4.422532320022583 seconds
Processing Time for 2022/06/18/2300H:  1.7472565174102783 seconds
Processing Time for 2022/06/19/0000H:  1.2731044292449951 seconds
Processing Time for 2022/06/19/0100H:  0.9114518165588379 seconds
Processing Time for 2022/06/19/0200H:  0.597822904586792 seconds
Processing Time for 2022/06/19/0300H:  0.8256828784942627 seconds
Processing Time for 2022/06/19/0400H:  0.8748865127563477 seconds
Processing Time for 2022/06/19/0500H:  2.5859158039093018 seconds
Processing Time for 2022/06/19/0600H:  4.021479368209839 seconds
Processing Time for 2022/06/19/0700H:  8.280060529708862 seconds
Processing Time for 2022/06/19/0800H:  5.917914390563965 seconds
Processing Time for 2022/06/19/0900H:  12.188620567321777 seconds
Processing Time for 2022/06/19/1000H:  13.339210987091064 seconds
Processing Time for 2022/06/19/1100H:  7.804812431335449 seconds
Processing Time for 2022/06/19/1200H:  13.343750715255737 seconds
Processing Time for 2022/06/19/1300H:  4.322199106216431 seconds
Processing Time for 2022/06/19/1400H:  10.382265329360962 seconds
Processing Time for 2022/06/19/1500H:  6.619965076446533 seconds
Processing Time for 2022/06/19/1600H:  9.741224765777588 seconds
Processing Time for 2022/06/19/1700H:  7.484106779098511 seconds
Processing Time for 2022/06/19/1800H:  13.425170183181763 seconds
Processing Time for 2022/06/19/1900H:  12.628457069396973 seconds
Processing Time for 2022/06/19/2000H:  12.626398086547852 seconds
Processing Time for 2022/06/19/2100H:  7.1702704429626465 seconds
Processing Time for 2022/06/19/2200H:  4.222229242324829 seconds
Processing Time for 2022/06/19/2300H:  0.9798111915588379 seconds
Processing Time for 2022/06/20/0000H:  0.5949611663818359 seconds
Processing Time for 2022/06/20/0100H:  0.32006072998046875 seconds
Processing Time for 2022/06/20/0200H:  0.13283872604370117 seconds
Processing Time for 2022/06/20/0300H:  0.3043396472930908 seconds
Processing Time for 2022/06/20/0400H:  0.4365699291229248 seconds
Processing Time for 2022/06/20/0500H:  2.4312491416931152 seconds
Processing Time for 2022/06/20/0600H:  3.188300371170044 seconds
Processing Time for 2022/06/20/0700H:  7.9144980907440186 seconds
Processing Time for 2022/06/20/0800H:  5.77454137802124 seconds
Processing Time for 2022/06/20/0900H:  13.821159839630127 seconds
Processing Time for 2022/06/20/1000H:  13.098479986190796 seconds
Processing Time for 2022/06/20/1100H:  8.297709226608276 seconds
Processing Time for 2022/06/20/1200H:  14.427554607391357 seconds
Processing Time for 2022/06/20/1300H:  2.68867564201355 seconds
Processing Time for 2022/06/20/1400H:  9.093451499938965 seconds
Processing Time for 2022/06/20/1500H:  4.756925344467163 seconds
Processing Time for 2022/06/20/1600H:  9.494797468185425 seconds
Processing Time for 2022/06/20/1700H:  6.499192476272583 seconds
Processing Time for 2022/06/20/1800H:  12.640418291091919 seconds
Processing Time for 2022/06/20/1900H:  10.570030927658081 seconds
Processing Time for 2022/06/20/2000H:  12.309149503707886 seconds
Processing Time for 2022/06/20/2100H:  7.009713649749756 seconds
Processing Time for 2022/06/20/2200H:  4.334172248840332 seconds
Processing Time for 2022/06/20/2300H:  1.2717463970184326 seconds
Processing Time for 2022/06/21/0000H:  0.8241372108459473 seconds
Processing Time for 2022/06/21/0100H:  0.42970919609069824 seconds
Processing Time for 2022/06/21/0200H:  0.41603851318359375 seconds
Processing Time for 2022/06/21/0300H:  0.665952205657959 seconds
Processing Time for 2022/06/21/0400H:  0.5965521335601807 seconds
Processing Time for 2022/06/21/0500H:  2.545281171798706 seconds
Processing Time for 2022/06/21/0600H:  4.800962448120117 seconds
Processing Time for 2022/06/21/0700H:  8.830781698226929 seconds
Processing Time for 2022/06/21/0800H:  4.780101776123047 seconds
Processing Time for 2022/06/21/0900H:  12.522201538085938 seconds
Processing Time for 2022/06/21/1000H:  12.519618034362793 seconds
Processing Time for 2022/06/21/1100H:  6.915318489074707 seconds
Processing Time for 2022/06/21/1200H:  12.598350524902344 seconds
Processing Time for 2022/06/21/1300H:  1.8605892658233643 seconds
Processing Time for 2022/06/21/1400H:  7.795302152633667 seconds
Processing Time for 2022/06/21/1500H:  5.558213710784912 seconds
Processing Time for 2022/06/21/1600H:  9.200575590133667 seconds
Processing Time for 2022/06/21/1700H:  6.135846853256226 seconds
Processing Time for 2022/06/21/1800H:  12.942961931228638 seconds
Processing Time for 2022/06/21/1900H:  10.27214789390564 seconds
Processing Time for 2022/06/21/2000H:  10.541613817214966 seconds
Processing Time for 2022/06/21/2100H:  4.811042308807373 seconds
Processing Time for 2022/06/21/2200H:  3.3309645652770996 seconds
Processing Time for 2022/06/21/2300H:  0.7715597152709961 seconds
Processing Time for 2022/06/22/0000H:  0.8006887435913086 seconds
Processing Time for 2022/06/22/0100H:  0.45291757583618164 seconds
Processing Time for 2022/06/22/0200H:  0.3009147644042969 seconds
Processing Time for 2022/06/22/0300H:  0.527611255645752 seconds
Processing Time for 2022/06/22/0400H:  0.5007717609405518 seconds
Processing Time for 2022/06/22/0500H:  2.280775785446167 seconds
Processing Time for 2022/06/22/0600H:  4.461167812347412 seconds
Processing Time for 2022/06/22/0700H:  8.965699911117554 seconds
Processing Time for 2022/06/22/0800H:  5.052446603775024 seconds
Processing Time for 2022/06/22/0900H:  13.799391508102417 seconds
Processing Time for 2022/06/22/1000H:  32.936590909957886 seconds
Processing Time for 2022/06/22/1100H:  7.768026828765869 seconds
Processing Time for 2022/06/22/1200H:  12.385846376419067 seconds
Processing Time for 2022/06/22/1300H:  2.8088619709014893 seconds
Processing Time for 2022/06/22/1400H:  10.621078252792358 seconds
Processing Time for 2022/06/22/1500H:  6.413510799407959 seconds
Processing Time for 2022/06/22/1600H:  10.288881778717041 seconds
Processing Time for 2022/06/22/1700H:  6.635899543762207 seconds
Processing Time for 2022/06/22/1800H:  14.900208234786987 seconds
Processing Time for 2022/06/22/1900H:  19.650787353515625 seconds
Processing Time for 2022/06/22/2000H:  15.360424041748047 seconds
Processing Time for 2022/06/22/2100H:  7.123317241668701 seconds
Processing Time for 2022/06/22/2200H:  3.7364327907562256 seconds
Processing Time for 2022/06/22/2300H:  0.9329955577850342 seconds
Processing Time for 2022/06/23/0000H:  0.969498872756958 seconds
Processing Time for 2022/06/23/0100H:  0.611090898513794 seconds
Processing Time for 2022/06/23/0200H:  0.5255424976348877 seconds
Processing Time for 2022/06/23/0300H:  0.5057287216186523 seconds
Processing Time for 2022/06/23/0400H:  0.5712769031524658 seconds
Processing Time for 2022/06/23/0500H:  2.5925488471984863 seconds
Processing Time for 2022/06/23/0600H:  4.461552143096924 seconds
Processing Time for 2022/06/23/0700H:  9.26093053817749 seconds
Processing Time for 2022/06/23/0800H:  5.39216423034668 seconds
Processing Time for 2022/06/23/0900H:  12.604830026626587 seconds
Processing Time for 2022/06/23/1000H:  11.791149854660034 seconds
Processing Time for 2022/06/23/1100H:  8.387901306152344 seconds
Processing Time for 2022/06/23/1200H:  13.572279930114746 seconds
Processing Time for 2022/06/23/1300H:  4.049234628677368 seconds
Processing Time for 2022/06/23/1400H:  9.66259503364563 seconds
Processing Time for 2022/06/23/1500H:  5.620581388473511 seconds
Processing Time for 2022/06/23/1600H:  10.232139587402344 seconds
Processing Time for 2022/06/23/1700H:  6.565864086151123 seconds
Processing Time for 2022/06/23/1800H:  13.325773239135742 seconds
Processing Time for 2022/06/23/1900H:  11.642502307891846 seconds
Processing Time for 2022/06/23/2000H:  12.718767642974854 seconds
Processing Time for 2022/06/23/2100H:  5.3057701587677 seconds
Processing Time for 2022/06/23/2200H:  3.639370918273926 seconds
Processing Time for 2022/06/23/2300H:  1.4405932426452637 seconds
Processing Time for 2022/06/24/0000H:  1.349959373474121 seconds
Processing Time for 2022/06/24/0100H:  0.7727344036102295 seconds
Processing Time for 2022/06/24/0200H:  0.7967486381530762 seconds
Processing Time for 2022/06/24/0300H:  0.9587442874908447 seconds
Processing Time for 2022/06/24/0400H:  1.1462883949279785 seconds
Processing Time for 2022/06/24/0500H:  3.3599908351898193 seconds
Processing Time for 2022/06/24/0600H:  5.005080938339233 seconds
Processing Time for 2022/06/24/0700H:  8.04080080986023 seconds
Processing Time for 2022/06/24/0800H:  5.359185457229614 seconds
Processing Time for 2022/06/24/0900H:  14.039873361587524 seconds
Processing Time for 2022/06/24/1000H:  13.007911205291748 seconds
Processing Time for 2022/06/24/1100H:  8.215376853942871 seconds
Processing Time for 2022/06/24/1200H:  13.290263652801514 seconds
Processing Time for 2022/06/24/1300H:  3.391822338104248 seconds
Processing Time for 2022/06/24/1400H:  9.988634824752808 seconds
Processing Time for 2022/06/24/1500H:  6.212270975112915 seconds
Processing Time for 2022/06/24/1600H:  10.027592897415161 seconds
Processing Time for 2022/06/24/1700H:  6.428932189941406 seconds
Processing Time for 2022/06/24/1800H:  12.88729190826416 seconds
Processing Time for 2022/06/24/1900H:  11.233165740966797 seconds
Processing Time for 2022/06/24/2000H:  11.405149698257446 seconds
Processing Time for 2022/06/24/2100H:  5.5076470375061035 seconds
Processing Time for 2022/06/24/2200H:  3.830549478530884 seconds
Processing Time for 2022/06/24/2300H:  1.1085131168365479 seconds
Processing Time for 2022/06/25/0000H:  0.3061809539794922 seconds
Processing Time for 2022/06/25/0100H:  0.3226501941680908 seconds
Processing Time for 2022/06/25/0200H:  0.16858267784118652 seconds
Processing Time for 2022/06/25/0300H:  0.31946897506713867 seconds
Processing Time for 2022/06/25/0400H:  0.2835981845855713 seconds
Processing Time for 2022/06/25/0500H:  2.360929489135742 seconds
Processing Time for 2022/06/25/0600H:  3.206716775894165 seconds
Processing Time for 2022/06/25/0700H:  7.149190425872803 seconds
Processing Time for 2022/06/25/0800H:  4.9279680252075195 seconds
Processing Time for 2022/06/25/0900H:  14.152406215667725 seconds
Processing Time for 2022/06/25/1000H:  13.41481876373291 seconds
Processing Time for 2022/06/25/1100H:  7.905501365661621 seconds
Processing Time for 2022/06/25/1200H:  12.93737244606018 seconds
Processing Time for 2022/06/25/1300H:  4.016335487365723 seconds
Processing Time for 2022/06/25/1400H:  9.222712993621826 seconds
Processing Time for 2022/06/25/1500H:  6.046363830566406 seconds
Processing Time for 2022/06/25/1600H:  9.469916820526123 seconds
Processing Time for 2022/06/25/1700H:  7.559258937835693 seconds
Processing Time for 2022/06/25/1800H:  13.673697710037231 seconds
Processing Time for 2022/06/25/1900H:  10.915283203125 seconds
Processing Time for 2022/06/25/2000H:  11.461667537689209 seconds
Processing Time for 2022/06/25/2100H:  6.062293529510498 seconds
Processing Time for 2022/06/25/2200H:  4.487064838409424 seconds
Processing Time for 2022/06/25/2300H:  1.364027500152588 seconds
Processing Time for 2022/06/26/0000H:  0.8888537883758545 seconds
Processing Time for 2022/06/26/0100H:  0.6686322689056396 seconds
Processing Time for 2022/06/26/0200H:  0.4363391399383545 seconds
Processing Time for 2022/06/26/0300H:  0.6961698532104492 seconds
Processing Time for 2022/06/26/0400H:  0.5129077434539795 seconds
Processing Time for 2022/06/26/0500H:  2.3949320316314697 seconds
Processing Time for 2022/06/26/0600H:  3.729592800140381 seconds
Processing Time for 2022/06/26/0700H:  6.467178106307983 seconds
Processing Time for 2022/06/26/0800H:  4.3359410762786865 seconds
Processing Time for 2022/06/26/0900H:  13.006595849990845 seconds
Processing Time for 2022/06/26/1000H:  12.567358255386353 seconds
Processing Time for 2022/06/26/1100H:  8.09519076347351 seconds
Processing Time for 2022/06/26/1200H:  12.02891731262207 seconds
Processing Time for 2022/06/26/1300H:  3.5612239837646484 seconds
Processing Time for 2022/06/26/1400H:  9.323397397994995 seconds
Processing Time for 2022/06/26/1500H:  5.631176948547363 seconds
Processing Time for 2022/06/26/1600H:  9.529841184616089 seconds
Processing Time for 2022/06/26/1700H:  5.642678260803223 seconds
Processing Time for 2022/06/26/1800H:  13.303743839263916 seconds
Processing Time for 2022/06/26/1900H:  12.740527629852295 seconds
Processing Time for 2022/06/26/2000H:  12.07369327545166 seconds
Processing Time for 2022/06/26/2100H:  6.2928078174591064 seconds
Processing Time for 2022/06/26/2200H:  4.421602725982666 seconds
Processing Time for 2022/06/26/2300H:  1.8259427547454834 seconds
Processing Time for 2022/06/27/0000H:  0.9235594272613525 seconds
Processing Time for 2022/06/27/0100H:  0.8859057426452637 seconds
Processing Time for 2022/06/27/0200H:  0.5268111228942871 seconds
Processing Time for 2022/06/27/0300H:  0.7349917888641357 seconds
Processing Time for 2022/06/27/0400H:  0.727170467376709 seconds
Processing Time for 2022/06/27/0500H:  2.785369396209717 seconds
Processing Time for 2022/06/27/0600H:  3.896127462387085 seconds
Processing Time for 2022/06/27/0700H:  7.502645015716553 seconds
Processing Time for 2022/06/27/0800H:  5.873723745346069 seconds
Processing Time for 2022/06/27/0900H:  13.666627407073975 seconds
Processing Time for 2022/06/27/1000H:  12.173883199691772 seconds
Processing Time for 2022/06/27/1100H:  7.632672071456909 seconds
Processing Time for 2022/06/27/1200H:  13.72289252281189 seconds
Processing Time for 2022/06/27/1300H:  3.670494318008423 seconds
Processing Time for 2022/06/27/1400H:  8.458540678024292 seconds
Processing Time for 2022/06/27/1500H:  9.304700136184692 seconds
Processing Time for 2022/06/27/1600H:  15.679356575012207 seconds
Processing Time for 2022/06/27/1700H:  9.144829511642456 seconds
Processing Time for 2022/06/27/1800H:  14.912275314331055 seconds
Processing Time for 2022/06/27/1900H:  14.97850751876831 seconds
Processing Time for 2022/06/27/2000H:  13.086659908294678 seconds
Processing Time for 2022/06/27/2100H:  7.4192054271698 seconds
Processing Time for 2022/06/27/2200H:  5.2688984870910645 seconds
Processing Time for 2022/06/27/2300H:  1.1259324550628662 seconds
Processing Time for 2022/06/28/0000H:  0.7687547206878662 seconds
Processing Time for 2022/06/28/0100H:  0.14010286331176758 seconds
Processing Time for 2022/06/28/0200H:  0.14960193634033203 seconds
Processing Time for 2022/06/28/0300H:  0.3236422538757324 seconds
Processing Time for 2022/06/28/0400H:  0.296938419342041 seconds
Processing Time for 2022/06/28/0500H:  2.269854784011841 seconds
Processing Time for 2022/06/28/0600H:  3.9960930347442627 seconds
Processing Time for 2022/06/28/0700H:  7.4183669090271 seconds
Processing Time for 2022/06/28/0800H:  4.01655912399292 seconds
Processing Time for 2022/06/28/0900H:  12.857506036758423 seconds
Processing Time for 2022/06/28/1000H:  12.696044921875 seconds
Processing Time for 2022/06/28/1100H:  7.9052064418792725 seconds
Processing Time for 2022/06/28/1200H:  12.15388536453247 seconds
Processing Time for 2022/06/28/1300H:  4.801826477050781 seconds
Processing Time for 2022/06/28/1400H:  9.204328775405884 seconds
Processing Time for 2022/06/28/1500H:  6.695626497268677 seconds
Processing Time for 2022/06/28/1600H:  9.04383134841919 seconds
Processing Time for 2022/06/28/1700H:  5.908312559127808 seconds
Processing Time for 2022/06/28/1800H:  12.949786901473999 seconds
Processing Time for 2022/06/28/1900H:  10.850494623184204 seconds
Processing Time for 2022/06/28/2000H:  11.215277194976807 seconds
Processing Time for 2022/06/28/2100H:  6.198540925979614 seconds
Processing Time for 2022/06/28/2200H:  4.773657560348511 seconds
Processing Time for 2022/06/28/2300H:  0.8996407985687256 seconds
Processing Time for 2022/06/29/0000H:  0.8432817459106445 seconds
Processing Time for 2022/06/29/0100H:  0.1775045394897461 seconds
Processing Time for 2022/06/29/0200H:  0.17519879341125488 seconds
Processing Time for 2022/06/29/0300H:  0.3169262409210205 seconds
Processing Time for 2022/06/29/0400H:  0.42949390411376953 seconds
Processing Time for 2022/06/29/0500H:  2.5408878326416016 seconds
Processing Time for 2022/06/29/0600H:  4.452771902084351 seconds
Processing Time for 2022/06/29/0700H:  8.309089422225952 seconds
Processing Time for 2022/06/29/0800H:  4.497365713119507 seconds
Processing Time for 2022/06/29/0900H:  12.763439893722534 seconds
Processing Time for 2022/06/29/1000H:  12.702528953552246 seconds
Processing Time for 2022/06/29/1100H:  9.879809856414795 seconds
Processing Time for 2022/06/29/1200H:  12.162346839904785 seconds
Processing Time for 2022/06/29/1300H:  3.564913034439087 seconds
Processing Time for 2022/06/29/1400H:  9.893751621246338 seconds
Processing Time for 2022/06/29/1500H:  6.018540620803833 seconds
Processing Time for 2022/06/29/1600H:  8.972175359725952 seconds
Processing Time for 2022/06/29/1700H:  5.38978123664856 seconds
Processing Time for 2022/06/29/1800H:  12.774937152862549 seconds
Processing Time for 2022/06/29/1900H:  11.529422760009766 seconds
Processing Time for 2022/06/29/2000H:  11.841120958328247 seconds
Processing Time for 2022/06/29/2100H:  6.1729371547698975 seconds
Processing Time for 2022/06/29/2200H:  4.529345989227295 seconds
Processing Time for 2022/06/29/2300H:  2.1312637329101562 seconds
Processing Time for 2022/06/30/0000H:  1.5742850303649902 seconds
Processing Time for 2022/06/30/0100H:  0.935009241104126 seconds
Processing Time for 2022/06/30/0200H:  0.757559061050415 seconds
Processing Time for 2022/06/30/0300H:  0.744196891784668 seconds
Processing Time for 2022/06/30/0400H:  0.6719245910644531 seconds
Processing Time for 2022/06/30/0500H:  2.891613006591797 seconds
Processing Time for 2022/06/30/0600H:  4.640767812728882 seconds
Processing Time for 2022/06/30/0700H:  31.372496128082275 seconds
Processing Time for 2022/06/30/0800H:  4.86860990524292 seconds
Processing Time for 2022/06/30/0900H:  12.017189741134644 seconds
Processing Time for 2022/06/30/1000H:  15.13930892944336 seconds
Processing Time for 2022/06/30/1100H:  7.840660095214844 seconds
Processing Time for 2022/06/30/1200H:  12.13327169418335 seconds
Processing Time for 2022/06/30/1300H:  2.70566725730896 seconds
Processing Time for 2022/06/30/1400H:  8.72407603263855 seconds
Processing Time for 2022/06/30/1500H:  5.670296669006348 seconds
Processing Time for 2022/06/30/1600H:  9.839284181594849 seconds
Processing Time for 2022/06/30/1700H:  5.886473894119263 seconds
Processing Time for 2022/06/30/1800H:  11.823132514953613 seconds
Processing Time for 2022/06/30/1900H:  10.481709718704224 seconds
Processing Time for 2022/06/30/2000H:  11.089951753616333 seconds
Processing Time for 2022/06/30/2100H:  5.614411354064941 seconds
Processing Time for 2022/06/30/2200H:  4.06787109375 seconds
Processing Time for 2022/06/30/2300H:  1.4658021926879883 seconds
Processing Time for 2022/07/01/0000H:  1.514841079711914 seconds
Processing Time for 2022/07/01/0100H:  1.0873126983642578 seconds
Processing Time for 2022/07/01/0200H:  0.5331392288208008 seconds
Processing Time for 2022/07/01/0300H:  0.6489756107330322 seconds
Processing Time for 2022/07/01/0400H:  0.7460997104644775 seconds
Processing Time for 2022/07/01/0500H:  3.228627920150757 seconds
Processing Time for 2022/07/01/0600H:  4.248205900192261 seconds
Processing Time for 2022/07/01/0700H:  8.682982921600342 seconds
Processing Time for 2022/07/01/0800H:  7.07838249206543 seconds
Processing Time for 2022/07/01/0900H:  14.233882427215576 seconds
Processing Time for 2022/07/01/1000H:  16.01526713371277 seconds
Processing Time for 2022/07/01/1100H:  11.16328477859497 seconds
Processing Time for 2022/07/01/1200H:  15.03614616394043 seconds
Processing Time for 2022/07/01/1300H:  10.869720935821533 seconds
Processing Time for 2022/07/01/1400H:  10.948995351791382 seconds
Processing Time for 2022/07/01/1500H:  8.6367027759552 seconds
Processing Time for 2022/07/01/1600H:  12.076250553131104 seconds
Processing Time for 2022/07/01/1700H:  7.2057671546936035 seconds
Processing Time for 2022/07/01/1800H:  13.60395622253418 seconds
Processing Time for 2022/07/01/1900H:  14.609475135803223 seconds
Processing Time for 2022/07/01/2000H:  13.40425729751587 seconds
Processing Time for 2022/07/01/2100H:  5.992660284042358 seconds
Processing Time for 2022/07/01/2200H:  3.102613925933838 seconds
Processing Time for 2022/07/01/2300H:  0.9234113693237305 seconds
Processing Time for 2022/07/02/0000H:  0.3199331760406494 seconds
Processing Time for 2022/07/02/0100H:  0.1890580654144287 seconds
Processing Time for 2022/07/02/0200H:  0.17819857597351074 seconds
Processing Time for 2022/07/02/0300H:  0.2849302291870117 seconds
Processing Time for 2022/07/02/0400H:  0.3000149726867676 seconds
Processing Time for 2022/07/02/0500H:  2.1016266345977783 seconds
Processing Time for 2022/07/02/0600H:  2.9966697692871094 seconds
Processing Time for 2022/07/02/0700H:  7.110878229141235 seconds
Processing Time for 2022/07/02/0800H:  4.707695960998535 seconds
Processing Time for 2022/07/02/0900H:  12.259082794189453 seconds
Processing Time for 2022/07/02/1000H:  12.42801547050476 seconds
Processing Time for 2022/07/02/1100H:  7.4763805866241455 seconds
Processing Time for 2022/07/02/1200H:  11.622900009155273 seconds
Processing Time for 2022/07/02/1300H:  3.618570327758789 seconds
Processing Time for 2022/07/02/1400H:  9.381183624267578 seconds
